timestamp,slotA
377677,148435.0
377688,148714.0
377700,148772.0
377711,148817.0
377722,148866.0
377733,148738.0
377744,148787.0
377755,148690.0
377767,148635.0
377778,148593.0
377789,148419.0
377800,148323.0
377811,148241.0
377822,147898.0
377834,148104.0
377845,147945.0
377856,147838.0
377867,147714.0
377878,147697.0
377889,147545.0
377901,147615.0
377912,147707.0
377923,147416.0
377934,147576.0
377945,147465.0
377956,147704.0
377967,147487.0
377979,147367.0
377990,147418.0
378001,147347.0
378012,147476.0
378023,147251.0
378039,147064.0
378045,147160.0
378057,147100.0
378068,147111.0
378079,146935.0
378090,146724.0
378101,146864.0
378112,146612.0
378124,146468.0
378140,146488.0
378146,146378.0
378157,146365.0
378168,146284.0
378179,146689.0
378190,147124.0
378202,147365.0
378213,147858.0
378224,148084.0
378240,148278.0
378246,148399.0
378257,148273.0
378269,148682.0
378280,148762.0
378291,148566.0
378302,148642.0
378313,148542.0
378324,148480.0
378340,148444.0
378347,148283.0
378358,148382.0
378369,148106.0
378380,148097.0
378391,147901.0
378403,148275.0
378414,147815.0
378425,147623.0
378440,147628.0
378447,147455.0
378458,147524.0
378469,147533.0
378480,147336.0
378492,147362.0
378503,147227.0
378514,147289.0
378525,147231.0
378540,147258.0
378547,147174.0
378559,147173.0
378570,147057.0
378581,147016.0
378592,146745.0
378603,146973.0
378614,146802.0
378625,146671.0
378640,146657.0
378648,146456.0
378659,146258.0
378670,146298.0
378681,146123.0
378692,145802.0
378704,145918.0
378715,145896.0
378726,145707.0
378740,145537.0
378748,145421.0
378759,145338.0
378771,145349.0
378782,145239.0
378793,145024.0
378804,144826.0
378815,144974.0
378826,145260.0
378840,145538.0
378849,146032.0
378860,146558.0
378871,146899.0
378882,147034.0
378893,147554.0
378904,147550.0
378916,147807.0
378927,147864.0
378940,147804.0
378949,147850.0
378960,147765.0
378971,147655.0
378982,147493.0
378994,147470.0
379005,147472.0
379016,147491.0
379027,147409.0
379040,147307.0
379049,147096.0
379060,146973.0
379072,146966.0
379083,146732.0
379094,146656.0
379105,146616.0
379116,146497.0
379127,146478.0
379140,146314.0
379150,146388.0
379161,146321.0
379172,146390.0
379183,146286.0
379194,146260.0
379206,146297.0
379217,146168.0
379228,146056.0
379240,146236.0
379250,145957.0
379261,145972.0
379273,145937.0
379284,145756.0
379295,145784.0
379306,145580.0
379317,145802.0
379328,145485.0
379340,145282.0
379351,145160.0
379362,145150.0
379373,145170.0
379384,144996.0
379395,144765.0
379406,144711.0
379418,144662.0
379429,144550.0
379440,144555.0
379451,144444.0
379462,144344.0
379473,144256.0
379484,144223.0
379496,144123.0
379507,144016.0
379518,144198.0
379529,144126.0
379540,143935.0
379551,144045.0
379563,144502.0
379574,144934.0
379585,145326.0
379596,145654.0
379607,146075.0
379618,146318.0
379629,146497.0
379641,146584.0
379652,146478.0
379663,146553.0
379674,146615.0
379685,146365.0
379696,146259.0
379708,146423.0
379719,146112.0
379730,146181.0
379741,146130.0
379752,145994.0
379763,145894.0
379774,145729.0
379786,145499.0
379797,145812.0
379808,145455.0
