timestamp,slotA,slotB
67466,81124,81262
67472,81533,81133
67477,81072,81387
67483,81324,81329
67489,81562,81512
67494,80996,81366
67500,81234,80997
67507,81716,81226
67511,81839,81151
67516,81546,81267
67522,81520,81318
67528,81449,81638
67533,81766,81140
67539,81674,81370
67544,81628,81370
67550,81505,81290
67556,81835,81515
67561,81310,81373
67567,81520,81688
67572,81725,81621
67578,81378,81651
67583,81620,81537
67589,81700,81660
67595,82077,82163
67600,82211,81639
67606,81908,81989
67611,82003,81671
67617,81931,81585
67623,81867,81408
67628,81994,81779
67634,81922,81508
67639,81995,81672
67645,82099,81877
67650,82229,81706
67656,82101,81871
67662,82153,82143
67667,82309,82030
67673,82154,81905
67678,82196,82264
67684,82203,82231
67690,82193,82449
67695,82900,82701
67701,82518,82495
67707,82613,82794
67712,82747,82808
67717,82484,82733
67723,82605,83023
67729,83033,82702
67734,83155,82878
67740,83339,83044
67745,83037,82835
67751,83241,82809
67757,83216,83198
67762,83309,82847
67768,83513,83413
67773,83528,83253
67779,83192,83493
67784,83645,83494
67790,83715,83432
67796,83122,83268
67806,83616,83815
67807,83865,83459
67812,83942,83990
67818,84019,83850
67823,83883,84051
67829,84158,84033
67835,84143,84474
67840,84193,84526
67846,83820,84101
67851,84177,84302
67857,84496,84295
67863,84351,84047
67868,84714,84185
67874,84482,84615
67879,84707,84495
67885,85112,84400
67891,84954,84560
67896,85206,84610
67907,85089,84555
67907,85049,85079
67913,84923,84914
67918,85250,84816
67924,85104,85092
67930,85451,85400
67935,85568,85473
67941,85395,84944
67946,85579,84924
67952,85297,85671
67958,85499,85734
67963,85571,85684
67969,85587,85828
